t,v,h,a
,,,
182.5,8818.0,111.8,0.448
183.0,8827.0,111.6,0.456
183.5,8835.0,112.2,0.457
184.0,8845.0,112.7,0.468
184.5,8853.0,113.3,0.464
185.0,8863.0,113.9,0.472
185.5,8871.0,114.4,0.476
,,,
186.5,8889.0,115.6,0.483
187.0,8899.0,116.2,0.487
187.5,8907.0,116.7,0.487
188.0,8917.0,117.3,0.496
188.5,8925.0,117.8,0.462
,,,
189.5,8945.0,118.9,0.5
190.0,8955.0,119.6,0.508
190.5,8963.0,120.8,0.508
191.0,8974.0,120.7,0.517
191.5,8982.0,121.2,0.513
192.0,8992.0,121.8,0.521
,,,
,,,
,,,
194.0,9038.0,123.9,0.527
194.5,9048.0,124.5,0.534
,,,
195.5,9068.0,125.6,0.534
196.0,9078.0,126.2,0.542
196.5,9078.0,126.6,0.508
,,,
,,,
198.0,9109.0,128.3,0.509
198.5,9119.0,128.8,0.517
199.0,9138.0,129.4,0.551
199.5,9139.0,129.9,0.524
,,,
200.5,9168.0,131.8,0.541
201.0,9171.0,131.6,0.515
201.5,9181.0,132.1,0.522
202.0,9191.0,132.6,0.518
202.5,9201.0,133.1,0.526
203.0,9212.0,133.7,0.53
203.5,9223.0,134.3,0.528
204.0,9233.0,134.8,0.528
204.5,9244.0,135.3,0.532
205.0,9255.0,135.9,0.535
205.5,9265.0,136.4,0.573
206.0,9277.0,137.8,0.58
206.5,9286.0,137.4,0.576
207.0,9299.0,138.8,0.553
207.5,9308.0,138.5,0.583
208.0,9328.0,139.1,0.604
208.5,9331.0,139.6,0.604
,,,
,,,
210.0,9364.0,141.1,0.608
210.5,9376.0,141.7,0.615
211.0,9386.0,142.2,0.615
211.5,9398.0,142.7,0.619
212.0,9409.0,143.2,0.619
212.5,9428.0,143.8,0.653
213.0,9432.0,144.3,0.627
213.5,9443.0,144.8,0.627
214.0,9455.0,145.3,0.634
214.5,9466.0,145.8,0.63
215.0,9479.0,146.4,0.646
215.5,9489.0,146.8,0.634
216.0,9501.0,147.4,0.646
216.5,9513.0,147.9,0.615
217.0,9526.0,148.5,0.653
217.5,9536.0,148.9,0.649
218.0,9549.0,149.5,0.653
,,,
,,,
219.5,9584.0,151.8,0.659
220.0,9596.0,151.5,0.659
220.5,9689.0,152.8,0.969
221.0,9621.0,152.5,0.641
221.5,9633.0,153.8,0.671
222.0,9645.0,153.5,0.675
222.5,9656.0,154.8,0.671
223.0,9678.0,154.6,0.712
223.5,9682.0,155.8,0.678
224.0,9695.0,155.5,0.69
224.5,9707.0,156.1,0.69
225.0,9721.0,156.6,0.697
225.5,9733.0,157.1,0.693
226.0,9745.0,157.6,0.701
226.5,9757.0,158.8,0.697
227.0,9772.0,158.6,0.71
227.5,9783.0,159.8,0.706
228.0,9797.0,159.6,0.408
,,,
,,,
229.5,9835.0,161.1,0.712
230.0,9848.0,161.5,0.716
230.5,9861.0,162.8,0.72
231.0,9875.0,162.6,0.731
231.5,9887.0,163.8,0.693
232.0,9982.0,163.6,1.037
232.5,9915.0,164.1,0.735
233.0,9929.0,164.6,0.743
233.5,9941.0,165.8,0.735
234.0,9956.0,165.5,0.746
234.5,9967.0,165.9,0.743
235.0,9982.0,166.5,0.754
235.5,9995.0,166.9,0.746
236.0,10088.0,167.4,1.056
236.5,10022.0,167.9,0.754
237.0,10037.0,168.4,0.763
237.5,10058.0,168.9,0.793
238.0,10065.0,169.4,0.77
238.5,10078.0,169.9,0.766
,,,
,,,
240.0,10121.0,171.3,0.775
240.5,10133.0,171.8,0.462
241.0,10149.0,172.3,0.775
241.5,10162.0,172.7,0.771
242.0,10176.0,173.2,0.779
242.5,10198.0,173.7,0.805
243.0,10206.0,174.2,0.794
243.5,10228.0,174.7,0.821
244.0,10234.0,175.1,0.794
244.5,10248.0,175.6,0.496
245.0,10265.0,176.1,0.809
245.5,10279.0,176.6,0.805
246.0,10293.0,177.8,0.779
246.5,10306.0,177.5,0.802
247.0,10322.0,178.8,0.813
247.5,10335.0,178.4,0.808
248.0,10352.0,178.9,0.827
248.5,10366.0,179.3,0.819
249.0,10381.0,179.8,0.827
,,,
,,,
250.5,10428.0,181.3,0.833
251.0,10442.0,181.7,0.803
251.5,10457.0,182.1,0.829
252.0,10474.0,182.7,0.81
252.5,10488.0,183.1,0.841
253.0,10583.0,183.5,1.146
,,,
,,,
254.5,10549.0,184.9,1.04
255.0,10566.0,185.4,1.051
,,,
,,,
256.5,10618.0,186.7,1.063
257.0,10629.0,187.3,1.056
257.5,10645.0,187.7,1.056
258.0,10659.0,188.1,1.06
258.5,10674.0,188.5,1.052
,,,
259.5,10786.0,189.4,1.211
260.0,10724.0,189.9,0.92
,,,
,,,
261.5,10772.0,191.3,0.921
262.0,10788.0,191.7,0.929
262.5,10886.0,192.2,1.242
,,,
263.5,10838.0,193.1,1.087
264.0,10856.0,193.6,1.102
,,,
265.0,10888.0,194.4,0.804
,,,
,,,
266.5,10937.0,195.7,0.909
,,,
,,,
,,,
268.5,11086.0,197.5,0.985
269.0,11025.0,198.8,0.689
269.5,11041.0,198.4,0.708
270.0,11057.0,198.8,0.708
270.5,11075.0,199.2,0.723
271.0,11094.0,199.7,0.738
271.5,11118.0,200.1,0.618
272.0,11127.0,200.6,0.886
272.5,11144.0,201.8,0.889
273.0,11162.0,201.4,0.897
273.5,11181.0,201.9,0.599
274.0,11199.0,202.3,0.757
274.5,11216.0,202.7,0.754
275.0,11233.0,203.1,0.757
275.5,11251.0,203.6,0.764
276.0,11278.0,204.8,0.725
276.5,11287.0,204.4,0.989
277.0,11383.0,204.8,1.291
277.5,11323.0,205.3,1.004
278.0,11343.0,205.7,1.012
278.5,11358.0,206.1,0.997
