t,v,h,a
137.533,6893.0,55.5,2.876882999207158
138.033,6943.0,56.8,2.8372409106354057
138.533,6993.0,56.5,2.876882999207158
139.033,7043.0,57.8,2.8372409106354057
,,,
140.033,7142.0,57.9,2.874051421452033
140.533,7189.0,58.4,2.81741986634953
141.033,7241.0,58.9,2.857061954921282
141.533,7294.0,59.4,2.874051421452033
142.033,7345.0,59.9,2.879714576962283
142.533,7395.0,60.4,2.840072488390531
143.033,7444.0,60.9,2.840072488390531
143.533,7496.0,61.4,2.8513987994110317
144.033,7547.0,62.8,2.857061954921282
144.533,7598.0,62.5,2.862725110431532
145.033,7651.0,63.8,2.8825461547174083
145.533,7704.0,63.5,2.9165250877789104
146.033,7756.0,64.8,2.9165250877789104
,,,
147.033,7862.0,65.8,2.9165250877789104
147.533,7917.0,65.6,2.939177709819911
148.033,7971.0,66.1,2.9618303318609125
,,,
,,,
149.533,8137.0,67.7,2.9976969834258314
150.033,8192.0,68.2,3.0146864499565824
150.533,8248.0,68.7,3.043002227507834
,,,
151.533,8363.0,69.8,3.0798127383244607
,,,
152.533,8477.0,70.8,3.102465360365462
153.033,8539.0,71.4,3.153433759957715
153.533,8554.0,71.9,2.9438970060784535
154.033,8548.0,72.5,2.609770830973685
154.533,8541.0,73.8,2.2586551893381657
155.033,8533.0,73.5,1.9075395477026464
155.533,8525.0,74.1,1.54887303205346
156.033,8518.0,74.6,1.1977573904179408
,,,
157.033,8503.0,75.7,0.8381470155170461
157.533,8496.0,76.2,0.472873485105901
158.033,8487.0,76.8,0.09910522142938044
158.533,8481.0,77.2,-0.2859893532676407
159.033,8473.0,77.8,-0.4162419300033979
159.533,8466.0,78.2,-0.4219050855136482
160.033,8466.0,78.8,-0.38226299694189597
160.533,8472.0,79.3,-0.30297881979839164
161.033,8488.0,79.9,-0.16706308755238417
,,,
162.033,8495.0,88.9,-0.10759995469475592
,,,
,,,
163.533,8517.0,82.4,-0.023596481292709626
164.033,8525.0,82.9,0.06135085136104504
