t,v,h
47.533,793.0,4.3
48.033,87.0,4.4
48.533,828.0,4.5
49.033,834.0,4.6
49.533,849.0,4.8
50.033,863.0,4.9
50.533,875.0,5.8
51.033,892.0,5.1
51.533,,
52.033,922.0,5.3
52.533,35.0,5.4
53.033,52.0,5.6
53.533,67.0,5.7
54.033,983.0,5.8
54.533,7.0,6.8
55.033,1015.0,6.1
55.533,1029.0,6.2
56.033,1047.0,6.4
56.533,1061.0,6.5
57.033,1079.0,6.6
57.533,1093.0,6.8
58.033,1109.0,6.9
58.533,1126.0,7.8
59.033,1141.0,7.2
59.533,1157.0,7.3
60.033,1173.0,7.5
60.533,1189.0,7.6
61.033,1206.0,7.8
61.533,1221.0,7.9
62.033,1237.0,8.1
62.533,1254.0,8.3
63.033,1271.0,8.4
63.533,1287.0,8.6
64.033,1304.0,8.7
64.533,1319.0,8.9
65.033,1339.0,9.8
65.533,1357.0,9.2
66.033,1375.0,9.4
66.533,1392.0,9.5
67.033,1418.0,9.7
67.533,1429.0,9.9
68.033,1458.0,10.1
68.533,1467.0,10.2
69.033,1489.0,10.4
69.533,1586.0,180.6
70.033,1528.0,180.8
70.533,1547.0,10.9
71.033,1568.0,11.1
71.533,1589.0,11.3
72.033,1689.0,11.5
72.533,1629.0,11.7
73.033,1654.0,11.9
73.533,1673.0,12.8
74.033,1695.0,12.2
74.533,1717.0,12.4
75.033,1743.0,12.6
75.533,1766.0,12.8
76.033,1789.0,13.8
76.533,1814.0,13.2
77.033,1838.0,13.4
77.533,1859.0,13.6
78.033,1887.0,13.8
78.533,1989.0,14.8
79.033,1938.0,14.3
79.533,1963.0,14.5
80.033,1988.0,14.7
80.533,2015.0,14.9
81.033,2042.0,15.1
81.533,2069.0,15.3
82.033,2095.0,15.5
82.533,2124.0,15.8
83.033,2151.0,16.8
